Q202735	Billy Bob Thornton
Q1060133	Hitomi Kuroki
Q1091716	Cidimar
Q21308	Mittelschaeffolsheim
Q21300	Odratzheim
Q82704	Gambassi Terme
Q299841	Pierre Weiss
Q876666	Martin Schneider
Q1226580	Dinmukhamed Konayev
Q276680	Gennadi Remezov
Q263735	Jean Nicod Prize
Q20875	Edward VII
Q774064	Petitmont
Q917257	Brimah Razak
Q1349814	S.C. Ravenna Sport
Q381443	Tarjei Vesaas
Q555253	Juan Miguel Zubiri
Q444725	Jan O'Sullivan
Q693208	Edelstauden
Q156713	Zhytomyr
Q9320	Corio
Q156711	Uzhhorod
Q478320	Scottish Football Association
Q765404	Satellite Award for Best Original Screenplay
Q950365	Patryk Rachwał
Q513535	canton of Ceyzériat
Q213166	Pohrebyshche Raion
Q1681805	Savona F.B.C.
Q2016992	Germany national under-18 football team
Q569665	Anselmo
Q1663	Split
Q1136016	Cosenza Calcio
Q454159	Saint-Julien-d'Arpaon
Q742210	Slade Gorton
Q2009646	PFA Young Player of the Year
Q11065521	Minister of Construction
Q860276	Bilal Gülden
Q733143	Andri Sigþórsson
Q11869	William Henry Harrison
Q78793	Tilla Durieux
Q1510023	Homo Homini Award
Q1076056	electrification
Q289286	AC Horsens
Q973571	Saint-Pierre-du-Perray
Q289289	A.C. Legnano
Q101757	Jutta Oesterle-Schwerin
Q22659	Apach
Q1359606	Guldbagge Awards
Q284833	San Nicolò Gerrei
Q218122	Robert Morse
Q6496365	Latin Grammy Award for Best New Artist
Q384481	Alan Garner
Q376688	Yury Usachov
Q703740	Knut Holmann
Q187091	FC Wil 1900
Q889600	Hugo Curioni
Q679318	Izet Hajrović
Q16402881	Minister of Social Affairs
Q130852	Jun'ichirō Koizumi
Q335213	Martin Rees
Q29032885	Capezio Dance Award
Q191077	Kingdom of Yugoslavia
Q538794	Stefano Borgonovo
Q1541081	Grace Murray Hopper Award
Q26321	Elizabeth Blackburn
Q3302356	Daniel Giraud Elliot Medal
Q216816	Míchel Salgado
Q1510036	Gerald Vizenor
Q441352	Fabio Firmani
Q25351	Theodor Mommsen
Q578562	Cristian Fabbiani
Q1335764	Emil-von-Behring-Prize
Q171583	Bobby Charlton
Q799849	Vicedomino de Vicedominis
Q1142034	Cartier Diamond Dagger
Q17019319	Women's Caucus for Art Lifetime Achievement Award
Q76828	Emil Kraepelin
Q270150	Naomi Foner Gyllenhaal
Q496926	Cerda
Q312881	Anker Jørgensen
Q258552	Bayerischer Poetentaler
Q768030	Bains-les-Bains
Q279425	Natalis de Wailly
Q18677767	Hauts-de-France
Q37628	Mila Kunis
Q312374	Aleksandar Luković
Q1297072	László Gonda
Q175309	Cameroon men's national football team
Q429468	FC Baden
Q104859	Michael Collins
Q725836	M. J. Seaton
Q508489	Juan Antonio Pizzi
Q3404594	Prix Formentor
Q617869	MTV Video Music Award for Best Pop Video
Q947744	Andrei Cordoș
Q753691	Sermamagny
Q523392	Jupp Derwall
Q533911	Marquillies
Q76699	Bernhard Schlink
Q533915	Malmöhus County
Q358387	Alexandre Ribot
Q6865853	Minister for Foreign Affairs (Ireland)
Q974044	Adrián Berbia
Q1605690	Henri Poincaré Prize
Q323348	Jesper Christiansen
Q1163325	Gené
Q1333979	Kostadin Dyakov
Q1052320	Takashi Yamazaki
Q592010	canton of Trévoux
Q274689	Élisabeth Guigou
Q1140277	Cristian Bucchi
Q274136	Puiseux-en-France
Q372858	Ciriaco Sforza
Q471053	Richard Hastings
Q576885	IEEE Morris N. Liebmann Memorial Award
Q16153104	BBC 100 Women
Q19066	Club Universitario de Deportes
Q12314193	Grammy Award for Best Spoken Comedy Album
Q425592	Rafael Altamira y Crevea
Q439030	Atiba Hutchinson
Q465989	Valérie Boyer
Q470798	Gérard Oury
Q1006997	Carlo Di Palma
Q502983	Michael Rostovtzeff
Q311271	John Lithgow
Q19817227	canton of Tourcoing-2
Q223360	FC Karpaty Lviv
Q19817225	canton of Tourcoing-1
Q23281105	Recipient of the Order of the National Coat of Arms, 1st Class
Q136790	Guillermo Billinghurst
Q208552	Molde FK
Q824377	Murat Kalkan
Q1195373	The Man Who Never Was
Q3789142	Grammy Award for Best Original Jazz Composition
Q208308	Kamchatka Oblast
Q1334637	Emanuel Berg
Q260414	Rosa Liksom
Q518815	Kapyĺ District
Q605817	Jay-Jay Okocha
Q879415	John Branch
Q4806630	Asian Film Award for Best Actress
Q674799	FC Biel-Bienne
Q262812	Charles Oudinot
Q122503	Jérôme Carcopino
Q170213	Zakarpattia Oblast
Q100660	Kurt Lütgen
Q4618975	Doctor
Q62016	Otto Heckmann
Q7897	Arles-sur-Tech
Q1131142	Spinoza Prize
Q595693	MTV Video Music Award for Best New Artist
Q1146645	Via Domitia
Q376825	B. Gratz Brown
Q593270	FC Brașov
Q5942	Altai Krai
Q1288248	John Sell Cotman
Q144535	Herbert Spencer
Q211557	bequest
Q11696	President of the United States
Q7460591	Shadow Secretary of State for Culture, Media and Sport
Q7460592	Shadow Secretary of State for Education
Q7460593	Shadow Secretary of State for Energy and Climate Change
Q1108579	Colin McNab
Q7460596	Shadow Secretary of State for Health and Social Care
Q7460597	Shadow Secretary of State for International Development
Q680044	Attendorf
Q7460599	Shadow Secretary of State for Northern Ireland
Q962903	Michel Heinrich
Q919999	Satellite Award for Best Original Song
Q11699	Vice President of the United States
Q674426	curator
Q674428	Kaposvári Rákóczi FC
Q1113721	Eldridge Street Synagogue
Q240631	University of Belgrade
Q188117	Walter Mosley
Q989439	Primetime Emmy Award for Outstanding Lead Actor in a Drama Series
Q374465	Mediaș
Q15841720	Randall William Cook
Q695939	FK Khazar Lankaran
Q1010490	Eno
Q3615378	Leader of the Labour Party
Q823422	National Film Registry
Q730394	Juan Pablo Alfaro
Q981419	Thomas Chrowder Chamberlin
Q546009	Auditorium Building
Q4257536	Lieutenant Governor of New Brunswick
Q486007	West Kazakhstan Region
Q133942	Marek Kopelent
Q1703589	Sociedade Esportiva e Recreativa Caxias do Sul
Q129673	Ulsan HD FC
Q266824	Saint-Germain-lès-Arpajon
Q310309	Bernard Le Bovier de Fontenelle
Q239229	Maria Mitchell
Q560790	Alfred Gabriel Nathorst
Q72141	Friedrich Delitzsch
Q6866004	Minister for Housing, Local Government and Heritage
Q333525	Michael Portillo
Q700582	Samir Muratović
Q333520	David Mundell
Q240454	Savannah
Q185051	Christopher Walken
Q519143	Jann Wenner
Q116995	Charles Dutoit
Q201885	Theofanis Gekas
Q958291	United Principalities of Moldavia and Wallachia
Q940810	André Luís Garcia
Q1651613	Nestroy Award
Q174512	Slovakia men's national football team
Q125577	Tilman Spengler
Q399456	Choisel
Q181216	HNK Hajduk Split
Q121853	Pirmin Bischof
Q30101454	Prime Minister of Lesotho
Q73971	Clube Náutico Capibaribe
Q961906	Nsumbu Mazuwa
Q57294	Johann Franz Encke
Q433274	Emanuele Di Zenzo
Q1367988	Grammy Award for Best Rap Album
Q11421395	United Nations Peace Medal
Q2678	Gomel
Q2674	Palermo F.C.
Q364505	Bertil Lindblad
Q1319161	Simeon Jackson
Q3446766	Croatia national under-19 football team
Q137911	Joyce Quin, Baroness Quin
Q273542	French School of Rome
Q273541	Joan Hackett
Q66812	Heinrich Eduard Jacob
Q662464	Rodrigo Alvim
Q108935	Mary Steenburgen
Q21659514	Leo Szilard Lectureship Award
Q956	Beijing
Q347757	Adalbert Zafirov
Q844282	Besançon Astronomical Observatory
Q1490	Tokyo
Q1492	Barcelona
Q959	Vladivostok
Q958	South Sudan
Q632045	Khalid Sinouh
Q391789	GAIS
Q166177	Ballon d'Or
Q445392	John Sherman
Q356715	Benny Carter
Q1725315	canton of Fougères-Nord
Q3873527	Czech Republic national under-19 football team
Q511621	William Jackson Pope
Q316467	Dídac Vilà
Q271944	Karin Viard
Q3873528	Norway national under-19 association football team
Q1275033	Alexander Goldin
Q179293	Kingdom of Castile
Q1434915	Pulitzer Prize for Explanatory Reporting
Q990887	Crévéchamps
Q197941	Jane Luu
Q575370	San Jose Earthquakes
Q1176809	David Tanner
Q332642	NAC Breda
Q21511	Oberhausbergen
Q403569	People's Artist of the USSR
Q318307	Club Atlético Rosario Central
Q910021	Karinainen
Q45785	Kim Dae-jung
Q194944	Bollingen Prize
Q238310	Grigny
Q1062361	La Rochelle-Normande
Q310710	Paulo da Silva
Q687396	L'Étang-la-Ville
Q834932	Boris Miličić
Q263508	Clive Betts
Q1472245	Bauman Moscow State Technical University
Q753596	Anicolor/Tien 21
Q12201434	Dame Commander of the Order of the British Empire
Q274275	Édouard Cortès
Q861002	Kazushi Hosaka
Q1038705	Claudio Amendola
Q616257	Ara Hakobyan
Q636138	Wasserbourg
Q1101999	Clive Soley, Baron Soley
Q1140209	Goran Jurić
Q1719898	Moscow Aviation Institute
Q146027	One Direction
Q1467106	Japan Academy Prize for Outstanding Performance by an Actress in a Leading Role
Q304251	Tim Farron
Q1944	Jérémy Toulalan
Q22359	Volmerange-lès-Boulay
Q278106	chalcocite
Q22355	Saint-François-Lacroix
Q22357	Zimming
Q29790141	Secció Històrico-Arqueològica de l’Institut d’Estudis Catalans
Q749113	SK Austria Kärnten
Q3405127	Oskar Barnack Award
Q179830	Jelgava
Q176351	Paul Flory
Q1038440	Jeff VanderMeer
Q1033780	Miguel Comminges
Q1137661	Gračanica monastery
Q212048	Glenn Ford
Q18985034	President of Zambia
Q9493	Monteu da Po
Q43203	Clint Eastwood
Q929965	Robie House
Q220	Rome
Q639012	Steven V. Ley
Q354856	Richard Dalitz
Q49074	Kurt Vonnegut
Q346000	Eino Uusitalo
Q236829	Diana Wynne Jones
Q958698	Mike Rietpietsch
Q65561	Hans Apel
Q3295156	Jawaharlal Nehru Award for International Understanding
Q170174	Papal States
Q109324	Christopher Lloyd
Q739302	production
Q873592	Chupe Salvador
Q725629	Larry Evans
Q725625	Robert Cushman Murphy
Q680770	FC UTA Arad
Q279973	Amy Yamada
Q209991	Langourla
Q1676641	JK Tervis Pärnu
Q740695	Toralf Engan
Q1029212	Bernie
Q1123766	Grammy Award for Best Rap Song
Q1066539	Charles de Brouckère
Q30123959	Bristol-Myers Squibb Award for Distinguished Achievement in Cardiovascular Research
Q78406	Eckart Viehweg
Q699429	Atdhe Nuhiu
Q771139	Walter Payton Man of the Year Award
Q112048	Sergei Puskepalis
Q1042582	Daniele Balli
Q896926	Aurich Government Region
Q907311	Netflix
Q5283531	district of Prussia
Q948201	Velimir Bata Živojinović
Q23001	Coume
Q52968	Erik Gustaf Boström
Q695217	Andy Love
Q1025734	Ylämaa
Q709188	Kevin M. Murphy
Q602299	Golden Raspberry Award for Worst Actor
Q819354	KSV Hessen Kassel
Q381566	Hecken
Q709181	Gil Álvarez Carrillo de Albornoz
Q843105	Versailleux
Q434905	Edward Everett
Q895961	Boyden Observatory
Q72679	Striano
Q27037814	President of the Board of Trade
Q921418	Júnior Díaz
Q67701	Anna Kendrick
Q1749539	Satellite Award for Best Visual Effects
Q1042767	Carlos Bustamante
Q566266	Hoyershausen
Q674165	Tony Award for Best Featured Actor in a Musical
Q37470	United Nations Security Council
Q263798	Alexandra Danilova
Q1003099	Xu Jiao
Q7209855	Polish Academy Award for Best Sound
Q578116	Filmfare Award for Best Music Director
Q891068	Bois du Cazier
Q1027165	Three 6 Mafia
Q39728	Aléxis Thébaux
Q22145176	ambassador of Germany to France
Q1054915	Sergei Davydov
Q134541	Black Eyed Peas
Q3841596	MTV Europe Music Award for Best UK & Ireland Act
Q512309	Howard Cedar
Q1780726	Pólya Prize
Q966909	Kevin Richardson
Q116620	Nicolás Lindley López
Q696307	Kaindorf an der Sulm
Q1285350	Piet Engels
Q1118531	Ferenc Kontra
Q249662	Nagoya Grampus
Q20745350	Integrity Award
Q221602	AIK Fotboll
Q3410551	President of the Senate of the Philippines
Q431503	Lyman Spitzer
Q281517	Septmoncel
Q693911	Bizone
Q76301	Doris Runge
Q726394	David J. Thouless
Q435461	Grete Ingeborg Nykkelmo
Q3473910	Satellite Award for Best Sound
Q430107	Samsunspor
Q1861	Bangkok
Q314155	Custódio Castro
Q951969	Manuel Esquivel
Q1070518	Cheryl Dunye
Q1189026	Dennis Cagara
Q289707	A.C. Reggiana 1919
Q1060279	Virginia Hamilton Adair
Q1023532	Atlas F.C.
Q1077893	Chris van Veen
Q391628	Šime Vrsaljko
Q1857712	People's Artist of the Russian Federation
Q126149	The Way We Were
Q152505	Leonard Bernstein
Q986753	Yuzo Yamamoto
Q1128086	Constantinos Makrides
Q21416	Lixhausen
Q224388	Coulvain
Q286980	Épagny
Q21541633	Gramophone Award for Lifetime Achievement
Q42784	Rho
Q320927	Martin Seligman
Q771984	Daniel Stenderup
Q320922	Sidney Sonnino
Q42782	Legnano
Q1011606	Saint-Brice-en-Coglès
Q1377772	European Film Award for Best Non-European Film
Q38457	MTV Europe Music Award for Best World Stage Performance
Q1049059	George Boyd
Q38451	MTV Europe Music Award for Biggest Fans
Q504249	Perstorp Municipality
Q18857010	Spellemann Award for the videoclip of the year
Q1285970	Primetime Emmy Award for Outstanding Supporting Actor in a Comedy Series
Q64883	Zecharias Frankel
Q943379	Lord President of the Council
Q18145518	Member of the New Zealand Parliament
Q464033	Saihou Jagne
Q464032	Cinema Paradiso
Q175030	John Aitken
Q1106745	Ferenc Kemény
Q4163574	Warsaw Voivodeship
Q21774093	Max Bastide
Q8017107	William Procter Prize for Scientific Achievement
Q944876	Calcio Lecco 1912
Q433454	John Brown
Q466095	József Pecsovszky
Q1137392	Bosguérard-de-Marcouville
Q433459	Kitty Carlisle
Q636289	Herrin
Q86919	Devid Striesow
Q1103869	Avrainville
Q774009	Jehay Castle
Q555232	Pendyala Harikrishna
Q492176	Alec McCowen
Q337988	Marcelo Méndez
Q60836	Tunay Torun
Q727274	IEEE John von Neumann Medal
Q1193426	Trinidad and Tobago Football Association
Q459218	FC Spartak Trnava
Q330604	William Joynson-Hicks, 1st Viscount Brentford
Q6519277	King Amphoe
Q922517	Terry Dixon
Q334322	Richard Taylor
Q1215654	Guy Paré
Q593849	canton of Saint-Rambert-en-Bugey
Q311268	Al-Rayyan
Q1483132	OSG Baden-Baden
Q672015	Marek Bakoš
Q156199	Electorate of Saxony
Q360418	construction site
Q914222	Carlos Adrián Valdez
Q15056034	Pour le Mérite for Sciences and Arts order
Q1056686	Stronger
Q459076	Riga Mustapha
Q933284	Lauri Dalla Valle
Q338386	Victor de Broglie
Q334189	Saint-Papoul Cathedral
Q937993	Motor Sich
Q50602	Manchester City F.C.
Q906298	Paul Pascal
Q707116	Wolfgang K. H. Panofsky
Q263758	Soultzmatt
Q707111	Gyula Sax
Q2665874	Screen Actors Guild Award for Outstanding Performance by a Stunt Ensemble in a Motion Picture
Q21725	Val-de-Bride
Q21721	Anzeling
Q941178	Sven Bergqvist
Q21722	Prévocourt
Q237833	George Santayana
Q1176144	David Pizanti
Q15336	Tikhvin
Q268239	Ștefan Grigorie
Q11961165	Bislett medal
Q1176634	David Shoenberg
Q12572	Haute-Loire
Q935978	Ricardo Sánchez
Q117023	Alicia Sánchez-Camacho
Q311267	Bobby Darin
Q441752	Martin Pusic
Q12578	Lot-et-Garonne
Q1076119	Chongli District
Q658230	Kelmė
Q139184	BAFTA Award for Best Film
Q1773432	Pushkinsky Urban District
Q115462	Fritz Zwicky
Q22187	Maizeroy
Q9653	Ipswich Town F.C.
Q937669	Monsef Zerka
Q141931	Dynamo Dresden
Q996586	Edu Moya
Q3936	Bamberg
Q3933	Celle
Q80589	People's Hero of Yugoslavia
Q77224	Arkadij Naiditsch
Q793616	Prince Carl, Duke of Västergötland
Q853690	Bruck-Mürzzuschlag District
Q1331491	Elke Hartmann
Q15116950	August Wilhelm von Hofmann Medal
Q650365	Carrarese Calcio
Q389004	Wallachia
Q484170	commune of France
Q4060170	Aktobe Uyezd
Q20991246	Metropolitan City of Catania
Q437736	Kari Bremnes
Q837481	Chemaudin
Q314743	Gerhart Hauptmann prize
Q15918234	canton of Saint-Genis-Pouilly
Q353822	Maynard Ferguson
Q968876	Wolf Prize in Chemistry
Q52413	University of Kansas
Q1202759	Germany national under-16 football team
Q1207229	Dexter Blackstock
Q726639	Alaeddine Yahia
Q3332454	Princess of Asturias Literary Prize
Q1610416	Hermann-Hesse-Preis
Q504141	Damir Pekič
Q449302	Olav Hodne
Q549859	Princess Protection Program
Q105304	Academy Award for Best International Feature Film
Q3131545	Primetime Emmy Award for Outstanding Voice-Over Performance
Q7302	George Frideric Handel
Q638288	Strømsgodset IF
Q11525354	Governor of Tokyo
Q6500801	Laurence Olivier Award for Best Performance in a Supporting Role
Q1077246	fluor-uvite
Q114225	Aschersleben-Staßfurt
Q4835657	British Independent Film Award for Best Supporting Actress
Q560949	Gunnar Knudsen
Q822666	Hamao Umezawa
Q560944	François Lamy
Q815515	Belgium national under-21 football team
Q130165	Prunoy
Q1802801	rural municipality of Austria
Q4581578	Postmaster General of the United Kingdom
Q23766	Ebenezer Howard
Q4835654	British Independent Film Award for Best Performance by an Actor in a British Independent Film
Q41548	Antonio Banderas
Q19518	Toulouse FC
Q81180	Grammy Hall of Fame
Q2663714	BAFTA Award for Best British Film
Q19516	Lille OSC
Q19041	Daniel González Güiza
Q19512	FC Sochaux-Montbéliard
Q311214	Robin Cook
Q311216	John Aloisi
Q968259	Shōtarō Yasuoka
Q10633	Queen Elizabeth, The Queen Mother
Q99052	Hans Meerwein
Q84000	César Award for Best Supporting Actress
Q297271	Jimmy Greaves
Q153676	Kislovodsk
Q366247	Jacky Novi
Q950819	Hemza Mihoubi
Q1137835	Villeneuve-Saint-Nicolas
Q1113496	butlerite
Q75883	Peter Huchel
Q154590	Golden Bear
Q354629	Mario Melchiot
Q615996	Hiram Sherman
Q2928362	Advocate General for Scotland
Q450429	Grace Jones
Q211177	Viking FK
Q1788125	Petra Köpping
Q102427	Academy Award for Best Picture
Q188929	Arthur Evans
Q1087236	Christ Stopped at Eboli
Q1531033	Glenn Gould Prize
Q1240435	Wolfram von Eschenbach Award
Q348422	Adam Smith Award
Q321061	FC Sion
Q384275	Feldkirch
Q745246	Santos Laguna
Q390256	Dunfermline Athletic F.C.
Q593216	Constantijn Huygens Prize
Q673535	Klein-Neusiedl
Q1108592	Colin Murdock
Q641425	Fabinho
Q679484	Pürgg-Trautenfels
Q1083938	Wild Man Blues
Q381171	Sainte-Foy-de-Montgommery
Q1070213	La Jemaye
Q370847	Joel Lindpere
Q250136	Yves Bonnefoy
Q164106	Péter Esterházy
Q719035	David Shire
Q750135	Pauline Latham
Q138007	Leah Goldberg
Q1071031	Paolo Gentiloni
Q333091	John Simon, 1st Viscount Simon
Q18938	Thomas Jane
Q84381	Aldo Duscher
Q32771	HNLMS Walrus
Q103087	Dietmar Willoweit
Q710227	Ivan Vukomanović
Q307473	Mart Laar
Q981161	Tosh Van der Sande
Q659009	Jens Christian Grøndahl
Q265310	Mostafa El-Sayed
Q4896630	Best Driver ESPY Award
Q336111	Lynda Clark, Baroness Clark of Calton
Q48149	Fyodor Ivanovich Tolbukhin
Q184945	Hastings Banda
Q266666	Uscio
Q747089	Tähtivaeltaja Award
Q191384	International Bank for Reconstruction and Development
Q605760	Presidio of San Diego
Q333540	Hégenheim
Q484779	Luc Besson
Q884415	George McDuffie
Q281091	Bourg-sous-Châtelet
Q262340	Prix Ampère
Q459688	Wilhelmenia Fernandez
Q3273712	King of Poland
Q48945	Northampton Town F.C.
Q753462	FC Universitatea Cluj
Q1032232	Canadian Museum of Nature
Q180005	Livry-Gargan
Q1649871	Kingdom of Poland
Q30185	mayor
Q339637	Kristianstad County
Q3332215	John Scott Award
Q217507	Vladimír Weiss
Q1003305	Francesc Mitjans i Miró
Q1086189	Nebula Award for Best Novella
Q756994	Darwin Medal
Q3405814	Governor General's Award for English-language non-fiction
Q515815	Pierino Prati
Q17176109	canton of Chartres-1
Q451331	Jacques Tits
Q767840	Lobachevsky Prize
Q659919	Edwin D. Morgan
Q2175909	Romania national under-21 football team
Q177888	Pavlovsk
Q688285	Großstübing
Q555421	Stanley Hoffmann
Q555932	Luc Cyr
Q7156	FC Barcelona
Q203573	Bursaspor
Q6515635	Norwegian P2 listener's literature award
Q507075	Stanley Matthews
Q464751	Milan Stepanov
Q299493	Fabrizio Ravanelli
Q464753	Hjalmar Andersen
Q262166	municipality in Germany
Q665851	George Wood
Q76844	Ulrich Beck
Q253447	Joël Tshibamba
Q76841	Gottfried Böhm
Q554338	Chaim L. Pekeris
Q204733	Gerty Cori
Q602923	Anguerny
Q375758	Anthony Šerić
Q912998	Émile Picard Medal
Q106301	Academy Award for Best Supporting Actress
Q106303	Daniel Auteuil
Q112391	Paulus Hochgatterer
Q421471	Aksel Hennie
Q912994	Speaker of the United States House of Representatives
Q273562	Belvès
Q75790	Karl Löwith
Q19858080	American Music Award for Favorite Pop/Rock Album
Q380443	Alain Finkielkraut
Q1073213	Châtillon-en-Dunois
Q935	Isaac Newton
Q205282	William Jennings Bryan
Q922348	Broadcast Film Critics Association Award for Best Supporting Actor
Q1322654	Liga Deportiva Alajuelense
Q910228	TI-Raleigh
Q17144417	Cherry Kearton Medal and Award
Q847768	General of The Salvation Army
Q16139	Province of Bologna
Q83359	James Dean
Q47050	Netherlands national association football team
Q42577	Busto Garolfo
Q42574	James Cameron
Q676014	Lars Fredrik Risp
Q1161131	Asnières-sur-Oise
Q602827	Police Tebrau F.C.
Q1011474	Saint-Aulaye
Q285574	Al-Qasim al-Ma'mun
Q231259	Billy Ray Cyrus
Q1025096	Caddyshack II
Q41841	pagoda at Xingshengjiao Temple
Q313168	John G. Thompson
Q936106	Eddington Medal
Q276427	Courson-Monteloup
Q276424	Ivo Iličević
Q313160	Radoslav Zabavník
Q21531	Mussig
Q276428	Ralf Fährmann
Q1233018	Frank Cottrell-Boyce
Q5978719	Diplom
Q357285	Frederik Sørensen
Q675836	Carlos Alberto Alves Garcia
Q1062439	Chanticleer
Q698810	Timo Ochs
Q1149033	Tõnis Lukas
Q466661	Folgensbourg
Q749687	Brandon Lewis
Q840924	SIGCOMM Award
Q1753094	United States Postmaster General
Q1724696	canton of Pont-de-Veyle
Q78057	Josef Wiesehöfer
Q78056	Herbert W. Roesky
Q164428	René Thom
Q9519	Orbassano
Q523967	Sándor Kürti
Q708492	council member
Q989445	Primetime Emmy Award for Outstanding Lead Actress in a Drama Series
Q94312	Werner Kofler
